MTU, Time, Power, Cost, Voltage
MTU1,05/11/2015 19:56:35,4.169,0.63,122.5
MTU1,05/11/2015 19:56:34,4.167,0.63,122.3
MTU1,05/11/2015 19:56:33,4.172,0.63,122.4
MTU1,05/11/2015 19:56:32,4.182,0.63,122.6
MTU1,05/11/2015 19:56:31,4.177,0.63,122.6
MTU1,05/11/2015 19:56:39,4.177,0.63,122.6
MTU1,05/11/2015 19:56:31,4.177,0.63,122.6
MTU1,05/11/2015 19:56:30,4.168,0.63,122.5
MTU1,05/11/2015 19:56:43,4.168,0.63,122.5
MTU1,05/11/2015 19:56:29,4.167,0.63,122.4
MTU1,05/11/2015 19:56:28,4.178,0.63,122.5
MTU1,05/11/2015 19:56:27,4.180,0.63,122.6
MTU1,05/11/2015 19:56:26,4.171,0.63,122.5
MTU1,05/11/2015 19:56:25,4.160,0.63,122.4
MTU1,05/11/2015 19:56:24,4.167,0.63,122.4
MTU1,05/11/2015 19:56:23,4.181,0.63,122.6
MTU1,05/11/2015 19:56:22,4.174,0.63,122.5
MTU1,05/11/2015 19:56:21,4.159,0.63,122.5
MTU1,05/11/2015 19:56:20,4.160,0.63,122.4
MTU1,05/11/2015 19:56:19,4.174,0.63,122.6
MTU1,05/11/2015 19:56:18,4.174,0.63,122.7
MTU1,05/11/2015 19:56:17,4.157,0.63,122.5
MTU1,05/11/2015 19:56:16,4.153,0.63,122.4
MTU1,05/11/2015 19:56:15,4.163,0.63,122.3
MTU1,05/11/2015 19:56:14,4.168,0.63,122.5
MTU1,05/11/2015 19:56:13,4.152,0.63,122.3
MTU1,05/11/2015 19:56:12,4.152,0.63,122.3
MTU1,05/11/2015 19:56:11,4.158,0.63,122.3
MTU1,05/11/2015 19:56:10,4.166,0.63,122.4
MTU1,05/11/2015 19:56:09,4.166,0.63,122.5
MTU1,05/11/2015 19:56:08,4.159,0.63,122.4
MTU1,05/11/2015 19:56:07,4.153,0.63,122.3
MTU1,05/11/2015 19:56:06,4.159,0.63,122.3
MTU1,05/11/2015 19:56:05,4.166,0.63,122.5
MTU1,05/11/2015 19:56:04,4.165,0.63,122.5
MTU1,05/11/2015 19:56:03,4.158,0.63,122.4
MTU1,05/11/2015 19:56:02,4.152,0.63,122.3
MTU1,05/11/2015 19:56:01,4.157,0.63,122.4
MTU1,05/11/2015 19:56:00,4.168,0.63,122.5
MTU1,05/11/2015 19:55:59,4.167,0.63,122.5
MTU1,05/11/2015 19:55:58,4.154,0.63,122.4
MTU1,05/11/2015 19:55:57,4.161,0.63,122.4
MTU1,05/11/2015 19:55:56,4.161,0.63,122.4
MTU1,05/11/2015 19:55:55,4.161,0.63,122.4
MTU1,05/11/2015 19:55:54,4.159,0.63,122.5
MTU1,05/11/2015 19:55:56,4.159,0.63,122.5
MTU1,05/11/2015 19:55:54,4.159,0.63,122.5
MTU1,05/11/2015 19:55:53,4.151,0.63,122.3
MTU1,05/11/2015 19:55:52,4.154,0.63,122.3
MTU1,05/11/2015 19:55:51,4.166,0.63,122.4
MTU1,05/11/2015 19:55:50,4.166,0.63,122.5
MTU1,05/11/2015 19:55:49,4.159,0.63,122.5
MTU1,05/11/2015 19:55:48,4.152,0.63,122.3
MTU1,05/11/2015 19:55:47,4.156,0.63,122.3
MTU1,05/11/2015 19:55:46,4.164,0.63,122.4
MTU1,05/11/2015 19:55:45,4.166,0.63,122.5
MTU1,05/11/2015 19:55:44,4.161,0.63,122.4
MTU1,05/11/2015 19:55:43,4.153,0.63,122.3
MTU1,05/11/2015 19:55:42,4.160,0.63,122.4
MTU1,05/11/2015 19:55:41,4.160,0.63,122.4
MTU1,05/11/2015 19:55:40,4.167,0.63,122.4
MTU1,05/11/2015 19:55:39,4.163,0.63,122.4
MTU1,05/11/2015 19:55:38,4.152,0.63,122.3
MTU1,05/11/2015 19:55:37,4.155,0.63,122.3
MTU1,05/11/2015 19:55:36,4.169,0.63,122.4
MTU1,05/11/2015 19:55:35,4.172,0.63,122.5
MTU1,05/11/2015 19:55:34,4.172,0.63,122.5
MTU1,05/11/2015 19:55:36,4.172,0.63,122.5
MTU1,05/11/2015 19:55:34,4.162,0.63,122.4
MTU1,05/11/2015 19:55:33,4.162,0.63,122.4
MTU1,05/11/2015 19:55:41,4.162,0.63,122.4
MTU1,05/11/2015 19:55:33,4.154,0.63,122.3
MTU1,05/11/2015 19:55:32,4.162,0.63,122.3
MTU1,05/11/2015 19:55:31,4.162,0.63,122.3
MTU1,05/11/2015 19:55:39,4.162,0.63,122.3
MTU1,05/11/2015 19:55:31,4.171,0.63,122.4
MTU1,05/11/2015 19:55:30,4.173,0.63,122.5
MTU1,05/11/2015 19:55:29,4.173,0.63,122.5
MTU1,05/11/2015 19:55:28,4.164,0.63,122.4
MTU1,05/11/2015 19:55:42,4.164,0.63,122.4
MTU1,05/11/2015 19:55:28,4.163,0.63,122.3
MTU1,05/11/2015 19:55:27,4.164,0.63,122.3
MTU1,05/11/2015 19:55:26,4.170,0.63,122.4
MTU1,05/11/2015 19:55:25,4.175,0.63,122.4
MTU1,05/11/2015 19:55:24,4.168,0.63,122.4
MTU1,05/11/2015 19:55:23,4.158,0.63,122.3
MTU1,05/11/2015 19:55:22,4.158,0.63,122.3
MTU1,05/11/2015 19:55:21,4.169,0.63,122.4
MTU1,05/11/2015 19:55:20,4.171,0.63,122.5
MTU1,05/11/2015 19:55:19,4.161,0.63,122.4
MTU1,05/11/2015 19:55:18,4.155,0.63,122.3
MTU1,05/11/2015 19:55:17,4.162,0.63,122.3
MTU1,05/11/2015 19:55:16,4.175,0.63,122.5
MTU1,05/11/2015 19:55:15,4.170,0.63,122.5
MTU1,05/11/2015 19:55:14,4.156,0.63,122.4
MTU1,05/11/2015 19:55:13,4.156,0.63,122.3
MTU1,05/11/2015 19:55:12,4.169,0.63,122.4
MTU1,05/11/2015 19:55:11,4.174,0.63,122.5
MTU1,05/11/2015 19:55:10,4.163,0.63,122.5
MTU1,05/11/2015 19:55:09,4.156,0.63,122.3
MTU1,05/11/2015 19:55:08,4.162,0.63,122.3
MTU1,05/11/2015 19:55:07,4.162,0.63,122.3
MTU1,05/11/2015 19:55:06,4.171,0.63,122.4
MTU1,05/11/2015 19:55:07,4.171,0.63,122.4
MTU1,05/11/2015 19:55:06,4.172,0.63,122.5
MTU1,05/11/2015 19:55:05,4.166,0.63,122.5
MTU1,05/11/2015 19:55:04,4.159,0.63,122.3
MTU1,05/11/2015 19:55:03,4.164,0.63,122.3
MTU1,05/11/2015 19:55:02,4.173,0.63,122.4
MTU1,05/11/2015 19:55:01,4.172,0.63,122.4
MTU1,05/11/2015 19:55:00,4.162,0.63,122.3
MTU1,05/11/2015 19:54:59,4.157,0.63,122.3
MTU1,05/11/2015 19:54:58,4.157,0.63,122.3
MTU1,05/11/2015 19:55:02,4.157,0.63,122.3
MTU1,05/11/2015 19:54:58,4.161,0.63,122.4
MTU1,05/11/2015 19:54:57,4.177,0.63,122.4
MTU1,05/11/2015 19:54:56,4.177,0.63,122.4
MTU1,05/11/2015 19:54:55,4.177,0.63,122.4
MTU1,05/11/2015 19:54:57,4.177,0.63,122.4
MTU1,05/11/2015 19:54:55,4.165,0.63,122.6
MTU1,05/11/2015 19:54:54,4.157,0.63,122.5
MTU1,05/11/2015 19:54:53,4.162,0.63,122.4
MTU1,05/11/2015 19:54:52,4.173,0.63,122.5
MTU1,05/11/2015 19:54:51,4.176,0.63,122.6
MTU1,05/11/2015 19:54:50,4.169,0.63,122.5
MTU1,05/11/2015 19:54:49,4.162,0.63,122.5
MTU1,05/11/2015 19:54:48,4.163,0.63,122.4
MTU1,05/11/2015 19:54:47,4.163,0.63,122.4
MTU1,05/11/2015 19:54:46,4.163,0.63,122.4
MTU1,05/11/2015 19:54:47,4.163,0.63,122.4
MTU1,05/11/2015 19:54:46,4.169,0.63,122.4
MTU1,05/11/2015 19:54:45,4.173,0.63,122.5
MTU1,05/11/2015 19:54:44,4.168,0.63,122.5
MTU1,05/11/2015 19:54:43,4.159,0.63,122.4
MTU1,05/11/2015 19:54:42,4.161,0.63,122.4
MTU1,05/11/2015 19:54:41,4.161,0.63,122.4
MTU1,05/11/2015 19:54:40,4.167,0.63,122.5
MTU1,05/11/2015 19:54:39,4.166,0.63,122.6
MTU1,05/11/2015 19:54:38,4.166,0.63,122.6
MTU1,05/11/2015 19:54:37,4.156,0.63,122.5
MTU1,05/11/2015 19:54:45,4.156,0.63,122.5
MTU1,05/11/2015 19:54:37,4.156,0.63,122.5
MTU1,05/11/2015 19:54:36,4.152,0.63,122.4
MTU1,05/11/2015 19:54:45,4.152,0.63,122.4
MTU1,05/11/2015 19:54:36,4.148,0.63,122.4
MTU1,05/11/2015 19:54:35,4.140,0.63,122.4
MTU1,05/11/2015 19:54:34,5.458,0.82,121.9
MTU1,05/11/2015 19:54:33,4.023,0.61,122.6
MTU1,05/11/2015 19:54:32,4.019,0.61,122.6
MTU1,05/11/2015 19:54:31,4.013,0.61,122.5
MTU1,05/11/2015 19:54:30,4.008,0.61,122.5
MTU1,05/11/2015 19:54:29,4.013,0.61,122.5
MTU1,05/11/2015 19:54:28,4.023,0.61,122.6
MTU1,05/11/2015 19:54:27,4.022,0.61,122.6
MTU1,05/11/2015 19:54:26,4.022,0.61,122.6
MTU1,05/11/2015 19:54:37,4.022,0.61,122.6
MTU1,05/11/2015 19:54:26,4.013,0.61,122.6
MTU1,05/11/2015 19:54:25,4.013,0.61,122.6
MTU1,05/11/2015 19:54:24,4.009,0.61,122.6
MTU1,05/11/2015 19:54:26,4.009,0.61,122.6
MTU1,05/11/2015 19:54:24,4.013,0.61,122.5
MTU1,05/11/2015 19:54:23,4.018,0.61,122.5
MTU1,05/11/2015 19:54:22,4.021,0.61,122.6
MTU1,05/11/2015 19:54:21,4.020,0.61,122.6
MTU1,05/11/2015 19:54:20,4.016,0.61,122.6
MTU1,05/11/2015 19:54:19,4.016,0.61,122.6
MTU1,05/11/2015 19:54:23,4.016,0.61,122.6
MTU1,05/11/2015 19:54:19,4.011,0.61,122.5
MTU1,05/11/2015 19:54:18,4.008,0.61,122.4
MTU1,05/11/2015 19:54:17,4.010,0.61,122.5
MTU1,05/11/2015 19:54:16,4.021,0.61,122.6
MTU1,05/11/2015 19:54:15,4.021,0.61,122.6
MTU1,05/11/2015 19:54:17,4.021,0.61,122.6
MTU1,05/11/2015 19:54:15,4.021,0.61,122.6
MTU1,05/11/2015 19:54:14,4.015,0.61,122.6
MTU1,05/11/2015 19:54:13,4.006,0.61,122.5
MTU1,05/11/2015 19:54:12,4.009,0.61,122.4
MTU1,05/11/2015 19:54:11,4.009,0.61,122.4
MTU1,05/11/2015 19:54:10,4.014,0.61,122.4
MTU1,05/11/2015 19:54:18,4.014,0.61,122.4
MTU1,05/11/2015 19:54:10,4.016,0.61,122.5
MTU1,05/11/2015 19:54:09,4.018,0.61,122.6
MTU1,05/11/2015 19:54:08,4.018,0.61,122.6
MTU1,05/11/2015 19:54:07,4.013,0.61,122.6
MTU1,05/11/2015 19:54:06,4.009,0.61,122.5
MTU1,05/11/2015 19:54:05,4.012,0.61,122.5
MTU1,05/11/2015 19:54:04,4.018,0.61,122.6
MTU1,05/11/2015 19:54:03,4.021,0.61,122.6
MTU1,05/11/2015 19:54:02,4.016,0.61,122.6
MTU1,05/11/2015 19:54:01,4.007,0.61,122.5
MTU1,05/11/2015 19:54:00,4.008,0.61,122.5
MTU1,05/11/2015 19:53:59,4.019,0.61,122.6
MTU1,05/11/2015 19:53:58,4.026,0.61,122.7
MTU1,05/11/2015 19:53:57,4.012,0.61,122.6
MTU1,05/11/2015 19:53:56,4.012,0.61,122.6
MTU1,05/11/2015 19:53:55,4.012,0.61,122.6
MTU1,05/11/2015 19:53:57,4.012,0.61,122.6
MTU1,05/11/2015 19:53:55,4.011,0.61,122.5
MTU1,05/11/2015 19:53:54,4.015,0.61,122.5
MTU1,05/11/2015 19:53:53,4.018,0.61,122.6
MTU1,05/11/2015 19:53:52,4.023,0.61,122.7
MTU1,05/11/2015 19:53:53,4.023,0.61,122.7
MTU1,05/11/2015 19:53:52,4.023,0.61,122.7
MTU1,05/11/2015 19:53:51,4.019,0.61,122.6
MTU1,05/11/2015 19:53:50,4.015,0.61,122.6
MTU1,05/11/2015 19:53:49,4.012,0.61,122.5
